name,category,price,image_url
Unisex 5'li Paket Siyah-Beyaz-Haki-Bordo-Vizon Slim Fit Dar Kesim %100 Pamuk Bisiklet Yaka Tişört,Erkek,899.66,https://cdn.dsmcdn.com/mnresize/400/-/ty1637/prod/QC/20250212/23/c68fb293-754f-32bd-a6d1-ecc0bea0eb7c/1_org_zoom.jpg
2'li Cüzdan & Kemer Seti Hediye Kutulu Set,Erkek,1079.28,https://cdn.dsmcdn.com/mnresize/400/-/ty1940/prod/QC_ENRICHMENT/20260521/11/2001a928-033d-312b-8755-9c8666a9f34b/1_org_zoom.jpg
Erkek Oversize Gömlek Yaka Uzun Kollu Keten Yazlık Gömlek,Erkek,736.29,https://cdn.dsmcdn.com/mnresize/400/-/ty1554/product/media/images/ty1552/prod/QC/20240918/00/6a0aa772-3d1c-3461-b3f1-5ded6d8ef4b8/1_org_zoom.jpg
Ds Damat Slim Fit Taş Beli Lastikli İpli Fermuarlı Likralı Rahat Jogger Pantolon,Erkek,1007.37,https://cdn.dsmcdn.com/mnresize/400/-/ty1723/prod/QC_ENRICHMENT/20250809/05/f6e2aed0-7a53-35f2-971e-523c642e0e09/1_org_zoom.jpg
5'li Pamuklu Likralı Esnek Dikişsiz Spor Çorap Seti,Erkek,251.99,https://cdn.dsmcdn.com/mnresize/400/-/ty1816/prod/QC_ENRICHMENT/20260128/17/306fb1de-3e97-3bf5-9d85-8a98b8c9795b/1_org_zoom.jpg
Polo Yaka Regular Fit Nakışlı Pamuklu Tişört,Erkek,398.99,https://cdn.dsmcdn.com/mnresize/400/-/ty1896/prod/QC_ENRICHMENT/20260506/09/48618857-bfec-36a1-9fe0-db83f186f65f/1_org_zoom.jpg
Yeni Sezon Rahat Kalıp Esnek Kumaş Beli Lastikli Baggy Pantolon,Erkek,373.79,https://cdn.dsmcdn.com/mnresize/400/-/ty1469/product/media/images/prod/QC/20240807/12/788d6fbe-4ed1-313b-8685-ebf31648d8bf/1_org_zoom.jpg
10'lu Ekonomik Paket Unısex Beyaz Kısa Spor Patik Çorap,Erkek,145.49,https://cdn.dsmcdn.com/mnresize/400/-/ty1906/prod/QC_ENRICHMENT/20260503/14/03c06b00-3db3-3fd2-b275-c01fe6f20629/1_org_zoom.jpg
KMF130 İyonizerli 130W Soğuk Buharlı Vantilatör,Elektronik,7649.1,https://cdn.dsmcdn.com/mnresize/400/-/ty1914/prod/QC_PREP/20260520/15/c7f78132-727d-38ff-8e87-d7cecedda537/1_org_zoom.jpg
KAC100 100W 25L Evaporatif Hava Soğutucu,Elektronik,8099.1,https://cdn.dsmcdn.com/mnresize/400/-/ty1939/prod/QC_PREP/20260520/15/29cb4541-1f18-3e9a-9451-a7fa5684eee7/1_org_zoom.jpg
KAC160 160W 45L Evaporatif Hava Soğutucu,Elektronik,11969.1,https://cdn.dsmcdn.com/mnresize/400/-/ty1926/prod/QC_PREP/20260521/09/5db717fc-d8fb-38d3-bcf5-6acfe1010e8b/1_org_zoom.jpg
